               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1284,            0.086428,                   0,           0.0039394,            0.063415,           0.0022675,          0.00054371,             0.12918,            0.099884,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12578,            0.086131,                   0,           0.0033333,            0.053659,           0.0019601,          0.00052079,             0.12837,             0.10114,                   0,            0.097294,          0.00029406,          0.00029406
                   2,             0.12788,            0.093208,                   0,           0.0036364,            0.058537,            0.002185,          0.00054703,              0.1272,             0.10312,                   0,             0.09548,           0.0004802,           0.0004802
                   3,             0.12702,            0.096107,                   0,           0.0051515,            0.082927,           0.0034949,          0.00075508,             0.12535,             0.10631,                   0,            0.093658,          0.00065842,          0.00065842
                   4,             0.12492,              0.0879,                   0,           0.0063636,             0.10244,           0.0049243,          0.00090385,             0.12245,              0.1105,                   0,            0.091829,          0.00082872,          0.00082872
                   5,             0.12145,             0.10472,                   0,           0.0072727,             0.11707,           0.0061536,           0.0012297,             0.11927,             0.11429,                   0,            0.089991,           0.0009911,           0.0009911
                   6,             0.11935,            0.098891,                   0,            0.010738,             0.13171,             0.00898,           0.0019249,             0.11554,             0.11821,                   0,            0.088146,           0.0011456,           0.0011456
                   7,             0.11736,              0.1021,                   0,            0.065743,             0.20488,            0.024283,           0.0055107,             0.11102,             0.12164,                   0,            0.086292,           0.0012921,           0.0012921
                   8,             0.11315,            0.078186,                   0,             0.13288,             0.22439,             0.04985,           0.0099053,             0.10862,             0.12401,                   0,            0.084431,           0.0014307,           0.0014307
                   9,             0.11269,             0.11131,                   0,             0.17778,             0.19512,            0.062619,            0.016582,             0.10562,             0.12625,                   0,            0.082561,           0.0015614,           0.0015614
                  10,             0.11107,             0.10509,                   0,             0.18839,             0.25366,            0.087282,            0.022947,             0.10415,             0.12636,                   0,            0.080684,           0.0016842,           0.0016842
                  11,             0.10978,            0.098254,                   0,             0.22567,             0.25854,             0.10861,            0.027109,             0.10245,             0.12552,                   0,            0.078799,           0.0017991,           0.0017991
                  12,             0.10643,            0.084125,                   0,             0.28677,             0.24878,             0.13038,            0.033584,             0.10065,             0.12477,                   0,            0.076906,            0.001906,            0.001906
                  13,             0.10469,            0.092031,                   0,             0.29512,             0.23902,             0.14927,             0.03955,             0.09934,             0.12277,                   0,            0.075005,            0.002005,            0.002005
                  14,             0.10369,            0.093811,                   0,             0.37183,             0.21463,             0.17515,            0.050782,            0.097707,             0.11931,                   0,            0.073096,           0.0020961,           0.0020961
                  15,             0.10266,             0.10093,                   0,             0.20653,             0.25366,             0.11642,            0.025266,            0.099433,             0.11572,                   0,            0.071179,           0.0021793,           0.0021793
                  16,             0.10374,            0.088168,                   0,             0.10986,              0.3122,            0.059319,            0.013398,             0.10308,             0.11333,                   0,            0.069255,           0.0022546,           0.0022546
                  17,             0.10128,            0.076634,                   0,             0.13832,             0.31707,            0.085794,            0.019923,            0.099602,              0.1111,                   0,            0.067322,           0.0023219,           0.0023219
                  18,            0.099489,            0.086637,                   0,             0.15078,             0.29362,            0.087087,            0.020034,            0.099305,             0.11032,                   0,            0.065381,           0.0023813,           0.0023813
                  19,              0.1032,            0.088189,                   0,             0.17919,             0.39512,             0.12386,            0.027733,            0.097712,             0.10977,                   0,            0.063433,           0.0024328,           0.0024328
                  20,             0.09704,            0.087842,                   0,             0.17277,             0.37561,             0.14496,            0.037741,            0.094282,             0.11139,                   0,            0.061476,           0.0024764,           0.0024764
                  21,            0.097223,            0.078244,                   0,             0.19099,             0.24878,             0.13362,            0.031065,               0.101,               0.121,                   0,            0.059512,           0.0025121,           0.0025121
                  22,            0.099052,            0.075847,                   0,             0.17831,             0.32195,             0.12378,            0.030146,             0.09807,             0.12364,                   0,             0.05754,           0.0025398,           0.0025398
                  23,            0.092903,            0.066847,                   0,             0.26718,             0.30244,             0.22359,             0.05695,            0.089458,             0.12164,                   0,             0.05556,           0.0025596,           0.0025596
                  24,            0.088316,            0.078454,                   0,             0.26746,             0.25854,              0.1816,            0.046658,             0.08772,             0.12041,                   0,            0.053572,           0.0025715,           0.0025715
                  25,            0.089192,            0.067181,                   0,              0.2435,             0.36585,             0.18509,            0.047494,            0.087956,             0.11414,                   0,            0.051576,           0.0025755,           0.0025755
                  26,            0.091412,            0.067601,                   0,             0.26037,             0.36098,             0.22175,            0.064316,             0.10177,             0.10704,                   0,            0.049572,           0.0025716,           0.0025716
                  27,            0.099456,            0.076864,                   0,             0.26037,             0.36098,             0.22175,            0.064316,             0.10177,             0.10704,                   0,             0.04756,           0.0025597,           0.0025597
                  28,            0.091736,            0.060556,                   0,             0.43066,             0.31707,             0.26749,            0.074541,            0.086659,             0.10275,                   0,             0.04554,           0.0025399,           0.0025399
                  29,            0.085557,            0.079129,                   0,             0.18854,             0.37073,             0.17151,            0.054851,            0.096314,             0.10196,                   0,            0.043512,           0.0025122,           0.0025122
                  30,            0.094925,            0.081392,                   0,             0.18854,             0.37073,             0.17151,            0.054851,            0.096314,             0.10196,                   0,            0.041477,           0.0024766,           0.0024766
                  31,            0.094886,            0.078052,                   0,             0.36705,             0.30732,             0.28059,            0.070287,              0.0881,             0.10045,                   0,            0.039433,           0.0024331,           0.0024331
                  32,            0.091931,            0.081659,                   0,             0.18949,             0.48293,             0.19603,            0.061566,            0.087573,              0.1015,                   0,            0.037382,           0.0023816,           0.0023816
                  33,            0.084084,            0.067315,                   0,             0.18949,             0.48293,             0.19603,            0.061566,            0.087573,              0.1015,                   0,            0.035322,           0.0023222,           0.0023222
                  34,            0.083397,            0.068086,                   0,             0.36206,             0.37073,             0.32413,            0.099738,            0.082586,             0.10007,                   0,            0.033255,           0.0022549,           0.0022549
                  35,            0.084465,            0.083616,                   0,             0.31235,             0.32571,             0.24945,            0.080236,            0.081516,             0.10115,                   0,             0.03118,           0.0021797,           0.0021797
                  36,             0.07795,            0.084689,                   0,             0.31235,             0.32571,             0.24945,            0.080236,            0.081516,             0.10115,                   0,            0.029097,           0.0020966,           0.0020966
                  37,            0.082113,            0.076491,                   0,             0.39267,             0.42927,             0.38653,             0.12314,            0.080767,             0.10025,                   0,            0.027006,           0.0020055,           0.0020055
                  38,            0.083045,            0.070475,                   0,             0.33801,             0.37561,             0.29959,             0.10102,            0.077088,            0.099548,                   0,            0.024907,           0.0019065,           0.0019065
                  39,            0.075312,            0.066524,                   0,             0.33801,             0.37561,             0.29959,             0.10102,            0.077088,            0.099548,                   0,              0.0228,           0.0017996,           0.0017996
                  40,            0.075262,            0.067292,                   0,             0.41871,                 0.4,              0.3779,             0.13438,            0.073571,            0.098587,                   0,            0.020685,           0.0016848,           0.0016848
                  41,            0.075351,            0.075946,                   0,              0.3521,             0.38049,             0.31735,             0.11327,            0.080912,            0.098907,                   0,            0.018562,           0.0015621,           0.0015621
                  42,             0.07854,            0.076734,                   0,              0.3521,             0.38049,             0.31735,             0.11327,            0.080912,            0.098907,                   0,            0.016431,           0.0014314,           0.0014314
                  43,            0.078896,            0.073425,                   0,             0.42065,             0.44878,             0.41698,             0.15348,            0.071484,            0.097336,                   0,            0.014293,           0.0012928,           0.0012928
                  44,            0.073119,             0.07378,                   0,             0.42065,             0.44878,             0.41698,             0.15348,            0.071484,            0.097336,                   0,            0.012146,           0.0011463,           0.0011463
                  45,            0.074598,            0.082183,                   0,             0.41857,             0.39024,             0.35354,             0.13503,            0.073474,            0.096573,                   0,           0.0099919,           0.0009919,           0.0009919
                  46,            0.073351,            0.081001,                   0,             0.41857,             0.39024,             0.35354,             0.13503,            0.073474,            0.096573,                   0,           0.0078296,          0.00082956,          0.00082956
                  47,            0.072562,            0.071367,                   0,             0.44771,             0.40488,             0.39516,             0.15377,             0.06997,            0.095131,                   0,           0.0056593,           0.0006593,           0.0006593
                  48,            0.071769,            0.075374,                   0,             0.44771,             0.40488,             0.39516,             0.15377,             0.06997,            0.095131,                   0,           0.0034811,          0.00048112,          0.00048112
                  49,            0.071061,            0.073799,                   0,             0.44238,             0.43902,             0.44644,             0.17471,            0.068707,            0.094177,                   0,            0.001295,          0.00029502,          0.00029502
