               epoch,      train/box_loss,      train/obj_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,               x/lr0,               x/lr1,               x/lr2
0,0.1284,0.086428,0.0066667,0.058537,0.0037463,0.00094629,0.12918,0.099884,0.0991,0.0001,0.0001
1,0.12578,0.086131,0.0033333,0.053659,0.0019603,0.00052083,0.12837,0.10115,0.097299,0.00029881,0.00029881
2,0.12787,0.093209,0.0036364,0.058537,0.0021879,0.00054769,0.12717,0.10318,0.095496,0.00049604,0.00049604
3,0.12696,0.096178,0.0051515,0.082927,0.0035052,0.00069343,0.12525,0.10646,0.093692,0.00069168,0.00069168
4,0.1248,0.087996,0.0060606,0.097561,0.0046531,0.00084965,0.12218,0.11084,0.091886,0.00088574,0.00088574
5,0.12122,0.10491,0.0081818,0.13171,0.0072367,0.0014007,0.11872,0.11488,0.090078,0.0010782,0.0010782
6,0.11887,0.09913,0.014247,0.13171,0.0099467,0.0022318,0.11476,0.11887,0.088269,0.0012691,0.0012691
7,0.11667,0.10227,0.090662,0.23415,0.033797,0.0074977,0.10981,0.12238,0.086458,0.0014584,0.0014584
8,0.11208,0.078289,0.15591,0.22439,0.065144,0.01361,0.10742,0.12456,0.084646,0.0016461,0.0016461
9,0.11185,0.11109,0.2129,0.18049,0.072476,0.019749,0.10444,0.12656,0.082832,0.0018323,0.0018323
10,0.11029,0.1044,0.20583,0.23415,0.090244,0.020276,0.10341,0.12599,0.081017,0.0020168,0.0020168
11,0.10853,0.097209,0.27413,0.24878,0.14157,0.033163,0.10069,0.12473,0.0792,0.0021998,0.0021998
12,0.10601,0.082588,0.17446,0.23415,0.073302,0.014126,0.1032,0.12134,0.077381,0.0023812,0.0023812
13,0.10658,0.089084,0.080037,0.20976,0.037842,0.0092061,0.10538,0.11813,0.075561,0.002561,0.002561
14,0.10597,0.089565,0.22526,0.23902,0.15509,0.037872,0.097543,0.11436,0.073739,0.0027392,0.0027392
15,0.10157,0.095887,0.16727,0.36098,0.10946,0.02407,0.09743,0.11096,0.071916,0.0029159,0.0029159
16,0.10165,0.082442,0.10713,0.29268,0.06606,0.016132,0.1017,0.11174,0.070091,0.0030909,0.0030909
17,0.097158,0.07207,0.17314,0.3122,0.12686,0.03019,0.094038,0.1149,0.068264,0.0032644,0.0032644
18,0.096193,0.079521,0.14708,0.3122,0.10661,0.026287,0.097274,0.12257,0.066436,0.0034363,0.0034363
19,0.099415,0.08149,0.17587,0.32479,0.12901,0.030667,0.097922,0.13116,0.064607,0.0036066,0.0036066
20,0.094135,0.083017,0.30752,0.2878,0.21171,0.050109,0.095277,0.13249,0.062775,0.0037753,0.0037753
21,0.091028,0.075981,0.29899,0.2892,0.21941,0.052482,0.095073,0.12704,0.060942,0.0039424,0.0039424
22,0.097019,0.073294,0.1893,0.45366,0.14178,0.042344,0.10654,0.12585,0.059108,0.004108,0.004108
23,0.10049,0.06389,0.17092,0.37561,0.11617,0.03363,0.10024,0.11484,0.057272,0.0042719,0.0042719
24,0.092781,0.074714,0.27451,0.36098,0.23475,0.074761,0.089561,0.10791,0.055434,0.0044343,0.0044343
25,0.093204,0.062916,0.19092,0.18537,0.10617,0.025086,0.10016,0.10661,0.053595,0.0045951,0.0045951
26,0.099108,0.063376,0.21125,0.3423,0.15235,0.039569,0.095623,0.097992,0.051754,0.0047543,0.0047543
27,0.093133,0.07486,0.21125,0.3423,0.15235,0.039569,0.095623,0.097992,0.049912,0.0049119,0.0049119
28,0.09824,0.055546,0.24699,0.17073,0.13418,0.035082,0.10765,0.091553,0.048068,0.005068,0.005068
29,0.10421,0.070001,0.24782,0.25854,0.18697,0.050273,0.10248,0.097221,0.046222,0.0052224,0.0052224
30,0.10062,0.074692,0.24782,0.25854,0.18697,0.050273,0.10248,0.097221,0.044375,0.0053753,0.0053753
31,0.09281,0.078157,0.29575,0.49268,0.28293,0.078252,0.081204,0.10106,0.042527,0.0055266,0.0055266
32,0.080371,0.087007,0.26862,0.37561,0.24701,0.070575,0.11303,0.11247,0.040676,0.0056763,0.0056763
33,0.10714,0.06053,0.26862,0.37561,0.24701,0.070575,0.11303,0.11247,0.038824,0.0058244,0.0058244
34,0.099061,0.062973,0.20007,0.4878,0.23714,0.063497,0.095961,0.095825,0.036971,0.005971,0.005971
35,0.090112,0.077666,0.3279,0.54737,0.26706,0.07818,0.091064,0.099167,0.035116,0.0061159,0.0061159
36,0.089587,0.080203,0.3279,0.54737,0.26706,0.07818,0.091064,0.099167,0.033259,0.0062593,0.0062593
37,0.09334,0.071249,0.40001,0.47805,0.40247,0.10243,0.095355,0.098984,0.031401,0.0064011,0.0064011
38,0.094434,0.064261,0.2813,0.39904,0.21011,0.056286,0.10294,0.096115,0.029541,0.0065413,0.0065413
39,0.10013,0.058552,0.2813,0.39904,0.21011,0.056286,0.10294,0.096115,0.02768,0.0066799,0.0066799
40,0.088694,0.062043,0.32883,0.49756,0.30663,0.09478,0.08109,0.096527,0.025817,0.006817,0.006817
41,0.078153,0.07817,0.16018,0.48293,0.17732,0.041165,0.11059,0.1082,0.023952,0.0069524,0.0069524
42,0.10214,0.070204,0.16018,0.48293,0.17732,0.041165,0.11059,0.1082,0.022086,0.0070863,0.0070863
43,0.10051,0.067619,0.33488,0.48875,0.303,0.083479,0.083305,0.094543,0.020219,0.0072186,0.0072186
44,0.08326,0.074463,0.33488,0.48875,0.303,0.083479,0.083305,0.094543,0.018349,0.0073493,0.0073493
